15/03/2019 01:00:00;570389
15/03/2019 02:00:00;561684
15/03/2019 03:00:00;561055
15/03/2019 04:00:00;560531
15/03/2019 05:00:00;559952
15/03/2019 06:00:00;566271
15/03/2019 07:00:00;565787
15/03/2019 08:00:00;560199
15/03/2019 09:00:00;555457
15/03/2019 10:00:00;553456
15/03/2019 11:00:00;550094
15/03/2019 12:00:00;548071
15/03/2019 13:00:00;524571
15/03/2019 14:00:00;544029
15/03/2019 15:00:00;552112
15/03/2019 16:00:00;552817
15/03/2019 17:00:00;558714
15/03/2019 18:00:00;552105
15/03/2019 19:00:00;555912
15/03/2019 20:00:00;548844
15/03/2019 21:00:00;552983
15/03/2019 22:00:00;591660
15/03/2019 23:00:00;181466
16/03/2019 00:00:00; 76087
